Team Name,Years
Atlanta Hawks,"2023, 2022, 2021, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
Boston Celtics,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2013, 2012, 2011"
Brooklyn Nets,"2023, 2022, 2021, 2020, 2019, 2015, 2014, 2013"
Charlotte Hornets,"2016, 2014"
Chicago Bulls,"2022, 2017, 2015, 2014, 2013, 2012, 2011"
Cleveland Cavaliers,"2025, 2024, 2023, 2018, 2017, 2016, 2015"
Dallas Mavericks,"2024, 2022, 2021, 2020, 2016, 2015, 2014, 2012, 2011"
Denver Nuggets,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2013, 2012, 2011"
Detroit Pistons,"2025, 2019, 2016"
Golden State Warriors,"2025, 2023, 2022, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
Houston Rockets,"2025, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
Indiana Pacers,"2025, 2024, 2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011"
Los Angeles Clippers,"2025, 2024, 2023, 2021, 2020, 2019, 2017, 2016, 2015, 2014, 2013, 2012"
Los Angeles Lakers,"2025, 2024, 2023, 2021, 2020, 2013, 2012, 2011"
Memphis Grizzlies,"2025, 2023, 2022, 2021, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
Miami Heat,"2025, 2024, 2023, 2022, 2021, 2020, 2018, 2016, 2014, 2013, 2012, 2011"
Milwaukee Bucks,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2015, 2013"
Minnesota Timberwolves,"2025, 2024, 2023, 2022, 2018"
New Orleans Pelicans,"2024, 2022, 2018, 2015, 2011"
New York Knicks,"2025, 2024, 2023, 2021, 2013, 2012, 2011"
Oklahoma City Thunder,"2025, 2024, 2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011"
Orlando Magic,"2025, 2024, 2020, 2019, 2012, 2011"
Philadelphia Sixers,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2012, 2011"
Phoenix Suns,"2024, 2023, 2022, 2021"
Portland Trail Blazers,"2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2011"
Sacramento Kings,2023
San Antonio Spurs,"2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
Toronto Raptors,"2022, 2020, 2019, 2018, 2017, 2016, 2015, 2014"
Utah Jazz,"2022, 2021, 2020, 2019, 2018, 2017, 2012"
Washington Wizards,"2021, 2018, 2017, 2015, 2014"